functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,PBE band gap,μ,μĀ,μ𝐵 ̅,t
TlHgAuTiO6,Tl,3,Hg,1,2.22,-4.59,208.85,798.15,0.24,-0.80,0.19,1.81,0.09,2.32,39.44,-8.56,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.15,0.04,0.987
TlHgMoMgO6,Tl,3,Hg,2,2.22,-4.59,208.85,798.15,0.24,-0.80,0.19,1.81,0.09,2.32,39.44,-8.56,Mo,5,Mg,0.24,0.24,-4.47,26.40,711.30,1.38,-2.70,0.43,1.74,0.35,2.38,56.00,16.00,0.00,0.48,0.06,0.04,0.923
TlHgReAuO6,Tl,3,Hg,1,2.22,-4.59,208.85,798.15,0.24,-0.80,0.19,1.81,0.09,2.32,39.44,-8.56,Re,5,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.06,0.51,0.15,0.10,0.943
TlHgTiTeO6,Tl,3,Hg,1,2.22,-4.59,208.85,798.15,0.24,-0.80,0.19,1.81,0.09,2.32,39.44,-8.56,Ti,4,Te,0.79,0.79,-5.16,105.60,763.60,1.83,-2.39,0.28,1.82,0.46,2.13,91.30,98.90,0.00,0.56,0.15,0.13,0.912
TlHoCr2O6,Tl,3,Ho,3,0.05,-2.31,4.25,585.05,0.85,-1.41,0.20,1.43,0.71,2.94,0.87,31.74,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.01,0.00,0.920
TlInO3,Tl,3,Tl,3,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,In,3,In,0.00,0.00,-2.52,0.00,558.30,0.00,-0.49,0.00,1.78,0.00,2.05,0.00,37.04,0.00,0.57,0.00,0.00,0.839
TlIO3,Tl,1,Tl,1,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,I,5,I,0.00,0.00,-7.08,0.00,1008.40,0.00,-0.56,0.00,2.66,0.00,1.59,0.00,295.20,0.08,0.68,0.00,0.00,0.933
TlIrO3,Tl,1,Tl,1,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Ir,5,Ir,0.00,0.00,-5.66,0.00,878.00,0.00,-0.96,0.00,2.20,0.00,2.63,0.00,151.00,0.00,0.41,0.00,0.00,1.113
TlKAuTaO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Au,5,Ta,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.46,0.15,0.05,0.977
TlKAuTiO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.03,0.44,0.15,0.04,0.989
TlKHfTiO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Hf,4,Ti,0.80,0.80,-3.57,8.70,666.70,0.73,-3.50,0.12,1.42,0.17,2.75,4.70,12.30,0.00,0.47,0.15,0.04,0.971
TlKPtTaO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Pt,5,Ta,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.04,0.46,0.15,0.05,0.977
TlKTaPrO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Ta,5,Pr,0.30,0.30,-3.35,119.15,642.15,0.29,-3.25,0.19,1.32,0.85,3.64,10.23,20.77,0.00,0.58,0.15,0.13,0.902
TlKTaScO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Ta,5,Sc,0.18,0.18,-3.47,65.15,696.15,0.18,-3.37,0.07,1.43,0.02,2.77,6.45,24.55,0.00,0.49,0.15,0.04,0.955
TlKTaTmO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Ta,5,Tm,0.81,0.81,-2.85,82.50,678.80,0.81,-2.73,0.13,1.38,0.41,3.20,34.00,65.00,0.00,0.54,0.15,0.09,0.925
TlKTaYO6,Tl,3,K,1,0.02,-2.35,85.25,504.05,0.12,-0.68,0.40,1.22,0.73,2.96,8.76,39.64,Ta,5,Y,0.55,0.55,-3.11,72.85,688.45,0.56,-2.99,0.14,1.36,0.07,2.87,0.70,30.30,0.00,0.55,0.15,0.09,0.921
TlLiPtTaO6,Tl,3,Li,1,0.25,-2.62,34.55,554.75,0.26,-0.83,0.32,1.30,0.31,1.92,14.36,45.24,Pt,5,Ta,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.03,0.46,0.01,0.05,0.909
TlLuCr2O6,Tl,3,Lu,3,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.00,0.00,0.915
TlLuSeMgO6,Tl,3,Lu,3,0.27,-2.09,32.90,556.40,0.57,-1.13,0.18,1.45,0.57,2.80,3.92,26.96,Se,4,Mg,0.90,0.90,-5.61,101.60,839.30,0.40,-0.92,0.62,1.93,0.37,1.66,117.50,77.50,0.22,0.44,0.00,0.08,0.917
TlMnWAlO6,Tl,3,Mn,2,1.04,-3.41,64.05,653.35,0.25,-0.81,0.04,1.59,0.01,2.23,40.44,-9.56,W,4,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,0.22,0.43,0.02,0.04,0.933
TlMoO3,Tl,3,Tl,3,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Mo,3,Mo,0.00,0.00,-4.23,0.00,684.90,0.00,-4.08,0.00,2.16,0.00,2.72,0.00,72.00,0.15,0.49,0.00,0.00,0.883
TlNaAuTiO6,Tl,3,Na,1,0.19,-2.56,46.75,542.55,0.09,-0.65,0.35,1.28,0.21,2.44,11.01,41.89,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.01,0.44,0.06,0.04,0.945
TlNaPtTaO6,Tl,3,Na,1,0.19,-2.56,46.75,542.55,0.09,-0.65,0.35,1.28,0.21,2.44,11.01,41.89,Pt,5,Ta,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.03,0.46,0.06,0.05,0.934
TlNdCr2O6,Tl,3,Nd,3,0.31,-2.67,29.80,559.50,1.16,-1.72,0.24,1.38,0.88,3.11,10.74,20.14,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.04,0.00,0.936
TlNdMnInO6,Tl,3,Nd,2,0.31,-2.67,29.80,559.50,1.16,-1.72,0.24,1.38,0.88,3.11,10.74,20.14,Mn,4,In,0.96,0.96,-3.48,79.55,637.85,0.28,-0.78,0.11,1.67,0.09,2.14,43.52,-6.48,0.00,0.48,0.11,0.10,0.949
TlNiO3,Tl,3,Tl,3,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Ni,3,Ni,0.00,0.00,-4.46,0.00,736.70,0.00,-0.75,0.00,1.91,0.00,2.18,0.00,112.00,0.00,0.43,0.00,0.00,0.923
TlNiWAlO6,Tl,3,Ni,2,1.05,-3.41,73.70,663.00,0.09,-0.65,0.14,1.77,0.03,2.21,40.56,71.44,W,4,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,0.00,0.43,0.03,0.04,0.912
TlPbAuCdO6,Tl,3,Pb,2,0.56,-2.93,63.10,652.40,0.04,-0.60,0.36,1.98,0.07,2.16,2.11,32.99,Au,5,Cd,0.05,0.05,-5.71,11.20,878.90,0.21,-0.97,0.43,2.12,0.22,2.44,145.40,77.40,0.00,0.54,0.10,0.14,0.900
TlPbMoMgO6,Tl,3,Pb,2,0.56,-2.93,63.10,652.40,0.04,-0.60,0.36,1.98,0.07,2.16,2.11,32.99,Mo,5,Mg,0.24,0.24,-4.47,26.40,711.30,1.38,-2.70,0.43,1.74,0.35,2.38,56.00,16.00,0.00,0.48,0.10,0.04,0.942
TlPbReAuO6,Tl,3,Pb,2,0.56,-2.93,63.10,652.40,0.04,-0.60,0.36,1.98,0.07,2.16,2.11,32.99,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.01,0.53,0.10,0.08,0.909
TlPdO3,Tl,3,Tl,3,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Pd,3,Pd,0.00,0.00,-4.02,0.00,804.70,0.00,-3.35,0.00,2.20,0.00,2.45,0.00,53.70,0.00,0.54,0.00,0.00,0.854
TlPdReAuO6,Tl,3,Pd,2,0.83,-3.19,107.70,697.00,1.39,-1.95,0.29,1.91,0.11,2.34,11.41,42.29,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.00,0.53,0.11,0.08,0.914
TlPmCr2O6,Tl,3,Pm,3,0.26,-2.63,26.90,562.40,1.12,-1.68,0.25,1.38,0.88,3.11,9.22,21.67,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.04,0.00,0.935
TlPtO3,Tl,1,Tl,1,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Pt,5,Pt,0.00,0.00,-5.28,0.00,868.40,0.00,-0.69,0.00,2.28,0.00,2.70,0.00,205.30,0.00,0.41,0.00,0.00,1.113
TlRbAuScO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Au,5,Sc,1.23,1.23,-4.53,129.55,760.55,1.21,-1.98,0.59,1.95,0.04,2.71,102.35,120.45,0.00,0.47,0.18,0.06,0.985
TlRbAuTaO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Au,5,Ta,1.05,1.05,-4.71,64.40,825.70,1.39,-2.16,0.52,2.02,0.06,2.73,95.90,126.90,0.00,0.46,0.18,0.05,0.991
TlRbAuTiO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Au,5,Ti,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.00,0.44,0.18,0.04,1.003
TlRbBiYO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Bi,5,Y,1.00,1.00,-3.57,43.85,659.45,0.87,-1.56,0.40,1.62,0.47,2.47,30.85,60.45,0.00,0.59,0.18,0.05,0.908
TlRbHfTeO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Hf,4,Te,1.59,1.59,-4.37,96.90,772.30,1.11,-1.67,0.40,1.70,0.62,2.29,86.60,103.60,0.61,0.60,0.18,0.09,0.904
TlRbHfTiO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Hf,4,Ti,0.80,0.80,-3.57,8.70,666.70,0.73,-3.50,0.12,1.42,0.17,2.75,4.70,12.30,0.00,0.47,0.18,0.04,0.985
TlRbHfZrO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Hf,4,Zr,0.45,0.45,-3.22,7.70,667.70,0.37,-3.14,0.02,1.32,0.04,2.87,12.05,29.05,0.00,0.51,0.18,0.00,0.958
TlRbNbInO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Nb,5,In,1.05,1.05,-3.57,52.75,611.05,2.01,-2.50,0.09,1.69,0.36,2.41,24.58,61.62,0.00,0.51,0.18,0.06,0.956
TlRbNbYO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Nb,5,Y,1.03,1.03,-3.59,24.10,639.70,1.04,-3.47,0.19,1.41,0.09,2.85,28.30,57.90,0.00,0.55,0.18,0.09,0.934
TlRbPtTaO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Pt,5,Ta,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.04,0.46,0.18,0.05,0.991
TlRbSbYO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Sb,5,Y,1.13,1.13,-3.69,109.05,724.65,0.94,-1.49,0.41,1.63,0.59,2.35,35.70,65.30,0.00,0.54,0.18,0.11,0.942
TlRbTaPrO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Ta,5,Pr,0.30,0.30,-3.35,119.15,642.15,0.29,-3.25,0.19,1.32,0.85,3.64,10.23,20.77,0.00,0.58,0.18,0.13,0.915
TlRbTaScO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Ta,5,Sc,0.18,0.18,-3.47,65.15,696.15,0.18,-3.37,0.07,1.43,0.02,2.77,6.45,24.55,0.00,0.49,0.18,0.04,0.968
TlRbTaTeO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Ta,4,Te,1.15,1.15,-4.80,53.95,815.25,1.49,-2.05,0.30,1.80,0.56,2.23,79.60,110.60,0.03,0.59,0.18,0.10,0.911
TlRbTaTiO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Ta,4,Ti,0.36,0.36,-4.01,51.65,709.65,0.34,-3.89,0.02,1.52,0.10,2.69,11.70,19.30,0.00,0.46,0.18,0.03,0.992
TlRbTaYO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Ta,5,Y,0.55,0.55,-3.11,72.85,688.45,0.56,-2.99,0.14,1.36,0.07,2.87,0.70,30.30,0.00,0.55,0.18,0.09,0.934
TlRbTiTeO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Ti,4,Te,0.79,0.79,-5.16,105.60,763.60,1.83,-2.39,0.28,1.82,0.46,2.13,91.30,98.90,0.00,0.56,0.18,0.13,0.926
TlRbWAlO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,W,5,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,0.01,0.41,0.18,0.03,1.024
TlRbZrSnO6,Tl,3,Rb,1,0.06,-2.31,93.15,496.15,0.09,-0.65,0.40,1.22,0.93,3.17,8.01,38.89,Zr,4,Sn,0.01,0.01,-3.68,24.30,684.30,1.48,-2.02,0.31,1.65,0.47,2.35,33.10,74.20,0.00,0.50,0.18,0.01,0.962
TlRhO3,Tl,3,Tl,3,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Rh,3,Rh,0.00,0.00,-3.59,0.00,719.80,0.00,-3.37,0.00,2.28,0.00,2.52,0.00,109.70,0.00,0.48,0.00,0.00,0.894
TlRuO3,Tl,1,Tl,1,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Ru,5,Ru,0.00,0.00,-3.58,0.00,711.10,0.00,-0.60,0.00,2.20,0.00,2.61,0.00,101.00,0.00,0.40,0.00,0.00,1.116
TlSbO3,Tl,1,Tl,1,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Sb,5,Sb,0.00,0.00,-4.83,0.00,833.70,0.00,-0.56,0.00,2.05,0.00,1.77,0.00,101.00,0.50,0.43,0.00,0.00,1.096
TlSmCr2O6,Tl,3,Sm,3,0.22,-2.58,23.05,566.25,1.07,-1.63,0.23,1.40,0.95,3.19,7.62,23.26,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.01,0.00,0.921
TlSmMnInO6,Tl,3,Sm,2,0.22,-2.58,23.05,566.25,1.07,-1.63,0.23,1.40,0.95,3.19,7.62,23.26,Mn,4,In,0.96,0.96,-3.48,79.55,637.85,0.28,-0.78,0.11,1.67,0.09,2.14,43.52,-6.48,0.00,0.48,0.09,0.10,0.938
TlSrHfFeO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Hf,4,Fe,0.83,0.83,-3.61,41.95,717.35,0.92,-1.86,0.27,1.57,0.40,2.51,0.65,16.35,0.00,0.48,0.08,0.02,0.927
TlSrHfNiO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Hf,4,Ni,0.84,0.84,-3.62,30.65,706.05,1.01,-1.76,0.30,1.61,0.37,2.55,47.50,64.50,0.00,0.47,0.08,0.04,0.938
TlSrNbInO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Nb,4,In,1.05,1.05,-3.57,52.75,611.05,2.01,-2.50,0.09,1.69,0.36,2.41,24.58,61.62,0.03,0.53,0.08,0.04,0.900
TlSrPtTaO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Pt,4,Ta,0.81,0.81,-4.46,53.55,814.85,1.43,-2.12,0.39,1.89,0.04,2.75,87.15,118.15,0.24,0.48,0.08,0.03,0.930
TlSrReAuO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Re,4,Au,0.19,0.19,-5.57,64.90,825.20,2.30,-3.06,0.32,2.22,0.01,2.67,108.49,114.31,0.02,0.53,0.08,0.08,0.900
TlSrRePtO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Re,5,Pt,0.05,0.05,-5.33,54.05,814.35,2.33,-3.02,0.19,2.09,0.01,2.69,99.74,105.56,0.00,0.49,0.08,0.08,0.922
TlSrSeYbO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Se,4,Yb,1.74,1.74,-4.77,168.75,772.15,0.29,-0.81,0.72,1.83,1.15,2.44,98.47,96.54,0.01,0.49,0.08,0.13,0.925
TlSrTaAlO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Ta,4,Al,0.47,0.47,-3.18,91.85,669.45,1.55,-1.99,0.06,1.56,0.56,2.23,6.50,37.50,0.02,0.43,0.08,0.05,0.960
TlSrTaMgO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Ta,5,Mg,0.53,0.53,-4.18,11.80,749.50,1.11,-2.44,0.09,1.41,0.38,2.41,35.50,-4.50,0.00,0.49,0.08,0.03,0.926
TlSrTiAuO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,Ti,4,Au,0.70,0.70,-5.06,116.05,774.05,1.73,-2.50,0.50,2.04,0.04,2.62,107.60,115.20,0.02,0.52,0.08,0.09,0.906
TlSrWAlO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,W,4,Al,0.90,0.90,-3.61,96.20,673.80,1.98,-2.43,0.37,1.98,0.53,2.21,17.30,61.30,1.05,0.43,0.08,0.04,0.965
TlSrWGaO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,W,4,Ga,0.96,0.96,-3.54,95.60,674.40,1.96,-2.45,0.27,2.09,0.52,2.22,24.30,54.30,1.49,0.46,0.08,0.01,0.945
TlSrWMgO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.02,0.48,0.08,0.04,0.931
TlSrWZnO6,Tl,3,Sr,2,0.58,-2.95,19.90,569.40,0.36,-0.92,0.34,1.29,0.49,2.72,12.93,17.95,W,5,Zn,0.74,0.74,-5.24,68.20,838.20,1.65,-2.76,0.36,2.01,0.43,2.31,68.30,10.30,0.03,0.49,0.08,0.04,0.926
TlTbCr2O6,Tl,3,Tb,3,0.06,-2.43,12.45,576.85,0.91,-1.47,0.26,1.36,0.83,3.06,9.11,21.78,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.02,0.00,0.926
TlTiO3,Tl,3,Tl,3,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,Ti,3,Ti,0.00,0.00,-4.37,0.00,658.00,0.00,-4.23,0.00,1.54,0.00,2.58,0.00,7.60,0.00,0.48,0.00,0.00,0.892
TlTmCr2O6,Tl,3,Tm,3,0.16,-2.20,3.50,592.80,0.68,-1.24,0.19,1.44,0.68,2.92,34.06,64.94,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.01,0.00,0.918
TlTmNbScO6,Tl,3,Tm,2,0.16,-2.20,3.50,592.80,0.68,-1.24,0.19,1.44,0.68,2.92,34.06,64.94,Nb,4,Sc,0.66,0.66,-3.95,16.40,647.40,0.66,-3.85,0.12,1.48,0.00,2.76,34.05,52.15,1.21,0.51,0.06,0.02,0.904
TlTmSeMgO6,Tl,3,Tm,3,0.16,-2.20,3.50,592.80,0.68,-1.24,0.19,1.44,0.68,2.92,34.06,64.94,Se,4,Mg,0.90,0.90,-5.61,101.60,839.30,0.40,-0.92,0.62,1.93,0.37,1.66,117.50,77.50,0.00,0.44,0.01,0.08,0.921
TlTmWMgO6,Tl,3,Tm,2,0.16,-2.20,3.50,592.80,0.68,-1.24,0.19,1.44,0.68,2.92,34.06,64.94,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,1.17,0.48,0.06,0.04,0.922
TlVO3,Tl,1,Tl,1,0.00,-2.37,0.00,589.30,0.00,-0.56,0.00,1.62,0.00,2.24,0.00,30.88,V,5,V,0.00,0.00,-4.47,0.00,650.30,0.00,-4.36,0.00,1.63,0.00,2.43,0.00,50.70,0.00,0.39,0.00,0.00,1.130
TlYbMoMgO6,Tl,3,Yb,2,0.33,-2.70,7.05,596.35,0.27,-0.83,0.26,1.36,0.68,2.91,16.41,14.48,Mo,5,Mg,0.24,0.24,-4.47,26.40,711.30,1.38,-2.70,0.43,1.74,0.35,2.38,56.00,16.00,0.03,0.48,0.06,0.04,0.923
TlYbSeMgO6,Tl,3,Yb,3,0.33,-2.70,7.05,596.35,0.27,-0.83,0.26,1.36,0.68,2.91,16.41,14.48,Se,4,Mg,0.90,0.90,-5.61,101.60,839.30,0.40,-0.92,0.62,1.93,0.37,1.66,117.50,77.50,0.05,0.44,0.00,0.08,0.919
TlYbWMgO6,Tl,3,Yb,2,0.33,-2.70,7.05,596.35,0.27,-0.83,0.26,1.36,0.68,2.91,16.41,14.48,W,5,Mg,0.10,0.10,-4.61,16.15,753.85,1.54,-2.87,0.52,1.84,0.35,2.38,59.30,19.30,0.02,0.48,0.06,0.04,0.921
TlYCr2O6,Tl,3,Y,3,0.10,-2.46,13.15,602.45,0.94,-1.50,0.20,1.42,0.35,2.59,0.64,30.24,Cr,3,Cr,0.00,0.00,-4.42,0.00,652.80,0.00,-4.35,0.00,1.66,0.00,2.44,0.00,64.30,0.00,0.44,0.01,0.00,0.923
Tm2DyGaO6,Tm,3,Tm,3,0.00,-2.04,0.00,596.30,0.00,-1.92,0.00,1.25,0.00,3.60,0.00,99.00,Dy,3,Ga,0.03,0.03,-2.54,3.30,575.50,0.88,-1.37,0.30,1.52,0.99,2.68,1.98,31.98,2.09,0.55,0.00,0.10,0.857
Tm2ErGaO6,Tm,3,Tm,3,0.00,-2.04,0.00,596.30,0.00,-1.92,0.00,1.25,0.00,3.60,0.00,99.00,Er,3,Ga,0.21,0.21,-2.36,4.90,583.70,0.83,-1.32,0.29,1.53,0.97,2.66,0.05,30.05,2.27,0.54,0.00,0.10,0.861
Tm2GdGaO6,Tm,3,Tm,3,0.00,-2.04,0.00,596.30,0.00,-1.92,0.00,1.25,0.00,3.60,0.00,99.00,Gd,3,Ga,0.20,0.20,-2.37,6.80,585.60,0.51,-1.01,0.31,1.51,1.11,2.80,8.39,21.61,1.08,0.56,0.00,0.11,0.852
Tm2HoGaO6,Tm,3,Tm,3,0.00,-2.04,0.00,596.30,0.00,-1.92,0.00,1.25,0.00,3.60,0.00,99.00,Ho,3,Ga,0.16,0.16,-2.42,1.00,579.80,0.88,-1.37,0.29,1.52,0.98,2.67,1.30,31.31,2.18,0.54,0.00,0.10,0.859
Tm2InGaO6,Tm,3,Tm,3,0.00,-2.04,0.00,596.30,0.00,-1.92,0.00,1.25,0.00,3.60,0.00,99.00,In,3,Ga,0.03,0.03,-2.55,10.25,568.55,0.00,-0.49,0.02,1.80,0.18,1.87,3.52,33.52,2.27,0.51,0.00,0.06,0.879
